timestamp,X,Y,Z
1568654743575,-0.289698,4.940435,8.426393
1568654743585,-0.283713,4.939238,8.404845
1568654743595,-0.254982,4.957195,8.410830
1568654743604,-0.216675,4.971560,8.458714
1568654743613,-0.216675,4.971560,8.458714
1568654743622,-0.178368,4.971560,8.498219
1568654743632,-0.174777,4.969166,8.501810
1568654743642,-0.213084,4.969166,8.474277
1568654743652,-0.262165,4.938041,8.433576
1568654743661,-0.308852,4.904522,8.355764
1568654743670,-0.324414,4.872200,8.257602
1568654743680,-0.274136,4.857835,8.184579
1568654743690,-0.232238,4.930859,8.165425
1568654743700,-0.177171,4.988319,8.238448
1568654743710,-0.137667,5.085284,8.281544
1568654743719,-0.082600,5.076905,8.305486
1568654743729,-0.068235,5.030218,8.299500
1568654743738,-0.050278,4.940435,8.281544
1568654743748,-0.051475,4.917690,8.347384
1568654743757,-0.134075,4.904522,8.566454
1568654743766,-0.233435,4.851850,8.807071
1568654743776,-0.368707,4.772841,8.991425
1568654743785,-0.598550,4.649539,9.051279
1568654743795,-0.764947,4.503493,9.318233
1568654743804,-0.875081,4.378995,9.379285
1568654743814,-1.012747,4.369418,9.205706
1568654743824,-1.120486,4.404134,9.150639
1568654743834,-1.091756,4.410120,9.029732
1568654743843,-1.003170,4.365827,9.080010
1568654743852,-0.926556,4.329914,9.129091
1568654743862,-0.914585,4.267664,9.150639
1568654743871,-0.930147,4.165911,9.046491
1568654743881,-0.990002,4.126407,8.886080
1568654743890,-0.946907,4.089296,8.811859
1568654743899,-0.717063,4.250905,8.773552
1568654743908,-0.621295,4.435259,8.805874
1568654743917,-0.726640,4.571728,8.819042
1568654743927,-0.800860,4.757279,8.553286
1568654743936,-0.743400,4.832696,8.288726
1568654743946,-0.689530,4.770447,8.130709
1568654743955,-0.731429,4.687847,8.066066
1568654743964,-0.792481,4.520253,8.170214
1568654743974,-0.755371,4.238934,8.384495
1568654743983,-0.663194,3.896563,8.568848
1568654743992,-0.684742,3.626019,8.695741
1568654744002,-0.749385,3.598485,8.651448
1568654744011,-0.577003,3.967192,8.526949
1568654744021,-0.483629,4.067749,8.524555
1568654744030,-0.472855,4.183867,8.577228
1568654744040,-0.501585,4.437653,8.708909
1568654744049,-0.531513,4.680665,8.816648
1568654744059,-0.529119,4.739322,8.627506
1568654744069,-0.582988,4.551377,8.322245
1568654744078,-0.626084,4.401740,8.069656
1568654744088,-0.551863,4.384980,7.987057
1568654744098,-0.366313,4.492720,8.112753
1568654744107,-0.082600,4.677073,8.246828
1568654744116,0.221464,4.718972,8.434772
1568654744125,0.489614,4.893748,8.425196
1568654744135,0.557849,4.941632,8.465898
1568654744145,0.458490,4.831499,8.456321
1568654744154,0.347159,4.644751,8.571242
1568654744163,0.306458,4.404134,8.749610
1568654744173,0.254982,4.217386,9.096769
1568654744183,0.527921,3.916914,9.496601
1568654744193,1.229423,3.602077,9.866506
1568654744202,1.832761,3.448848,10.093954
1568654744211,1.957260,3.215413,10.566810
1568654744220,2.059013,3.353080,10.178948
1568654744230,2.062605,3.523068,9.780313
1568654744239,2.070984,3.552995,9.504981
1568654744249,2.147599,3.562572,9.390059
1568654744258,2.151190,3.439271,9.440337
1568654744267,2.048239,3.350685,9.507375
1568654744276,2.187103,3.886986,9.096769
1568654744286,2.315193,4.442441,9.561244
1568654744295,2.256535,4.754885,9.991004
1568654744304,1.804031,4.784812,10.104729
1568654744314,1.180341,4.551377,9.803059
1568654744323,0.652420,4.230555,9.379285
1568654744332,0.395043,3.931279,9.027337
1568654744342,0.418985,3.725378,8.602366
1568654744351,0.478840,3.652355,8.238448
1568654744360,0.470461,3.677494,8.021772
1568654744370,0.579397,3.608062,7.959524
1568654744380,0.831985,3.515885,7.937976
1568654744389,1.024718,3.517082,7.835025
1568654744399,1.013944,3.671508,7.783550
1568654744408,0.944513,3.857059,8.020576
1568654744417,0.919373,4.071340,8.450335
1568654744427,0.940921,4.209007,8.714894
1568654744437,1.013944,4.043807,8.675390
1568654744446,1.114501,3.679888,8.470686
1568654744456,1.179144,3.514688,8.427590
1568654744466,1.320402,3.635595,8.330625
1568654744475,1.540669,3.995923,8.030152
1568654744485,1.635240,4.428076,7.672219
1568654744494,1.728614,4.720169,6.903681
1568654744503,1.946486,4.920084,6.658275
1568654744513,2.325967,4.920084,6.482301
1568654744522,2.057816,4.132392,9.552865
1568654744531,1.557428,3.422511,10.431537
1568654744541,1.096544,2.837129,10.304645
1568654744550,0.651223,2.618060,9.831789
1568654744560,0.336385,2.669535,9.867702
1568654744569,0.319626,2.851494,10.237606
1568654744579,0.794875,3.063381,10.570400
1568654744588,1.586159,3.436877,10.511743
1568654744598,2.366668,4.028244,9.731233
1568654744607,3.101688,4.504691,8.400057
1568654744617,3.535039,4.733337,7.076063
1568654744626,3.515885,4.599261,6.684611
1568654744636,3.060987,4.145560,7.188591
1568654744646,2.238579,3.699042,8.098388
1568654744656,1.629254,3.183091,8.640674
1568654744665,1.422156,2.578555,8.847773
1568654744675,1.696292,2.329558,8.967483
1568654744684,1.960851,2.674323,8.817844
